Date,Description,"Check Number",Amount
01/18/2012,"MERCHANT PAYMENT SAM'S Club AT LOC 760015 8276 WAL-SAMS LOUISVILLE KY",,-50.64
01/17/2012,"MERCHANT PAYMENT LOWE'S #1923 AT LOC 001 2100 BASHFORD MANOR LAN LOUISVILLE KY",,-63.91
01/17/2012,"DEBIT CARD PURCHASE AT A CHAU GROCERY STO, LOUISVILLE, KY ON 011312 FROM CARD#: XXXXXXXXXXXX0000",,-22.89
01/17/2012,"DEBIT CARD PURCHASE AT BINH PHUOC ORIENTA, LOUISVILLE, KY ON 011312 FROM CARD#: XXXXXXXXXXXX0000",,-17.00
01/17/2012,"DEBIT CARD PURCHASE AT BINH PHUOC ORIENTA, LOUISVILLE, KY ON 011512 FROM CARD#: XXXXXXXXXXXX0000",,-21.37
01/17/2012,"MERCHANT PAYMENT SOUTHSIDE PIC PA AT LOC 790501 6629 SOUTHSIDE DR. LOUISVILLE KY",,-17.56
01/17/2012,"MERCHANT PAYMENT LOWE'S #1518 AT LOC 001 9800 PRESTON CROSSING B LOUISVILLE KY",,-39.69
01/17/2012,"MERCHANT PAYMENT MEIJER INC 166 AT LOC 120114 9500 PRESTON HWY LOUISVILLE KY",,-98.99
01/17/2012,"MERCHANT PAYMENT SOUTHSIDE PIC PA AT LOC 790501 6629 SOUTHSIDE DR. LOUISVILLE KY",,-16.80
01/17/2012,"MERCHANT PAYMENT KROGER AT LOC O35085 5533 NEW CUT RD. LOUISVILLE KY",,-16.78
01/12/2012,"LOU WATER CO WATER BILL 1121381 011212",,-90.59
01/10/2012,"MERCHANT PAYMENT KROGER AT LOC O75280 3165 S. SECOND LOUISVILLE KY",,-1.29
01/10/2012,"DEBIT CARD PURCHASE AT ORIENTAL HOUSE, LOUISVILLE, KY ON 010912 FROM CARD#: XXXXXXXXXXXX0000",,-38.99
01/09/2012,"MERCHANT PAYMENT Wal-Mart Super AT LOC 170014 5417 WAL-SAMS LOUISVILLE KY",,-32.03
01/09/2012,"MERCHANT PAYMENT TRADER JOE'S #62 AT LOC 462801 4600 SHELBYVILLE RD #11 LOUISVILLE KY",,-13.29
01/09/2012,"MERCHANT PAYMENT KROGER AT LOC O35085 5533 NEW CUT RD. LOUISVILLE KY",,-14.83
01/09/2012,"MERCHANT PAYMENT FEEDERS SUPPLY AT LOC 301101 4600 SHELBYVILLE RD STE LOUISVILLE KY",,-59.95
01/09/2012,"MERCHANT PAYMENT Wal-Mart Super AT LOC 170001 5417 WAL-SAMS LOUISVILLE KY",,-40.71
01/09/2012,"DEBIT CARD PURCHASE AT BINH PHUOC ORIENTA, LOUISVILLE, KY ON 010000 FROM CARD#: XXXXXXXXXXXX0000",,-14.00
01/06/2012,"Norton Healthcar PR PAYMENT XXXXXXXXXX0000 010000",,500.00
01/06/2012,"Norton Healthcar PR PAYMENT XXXXXXXXXX0000 010000",,500.00
01/05/2012,"WEB INITIATED PAYMENT AT Louisville Gas & WEB PYMTS XXXXXXXXXXXXXXX0512",,-124.49
01/04/2012,"MERCHANT PAYMENT KROGER AT LOC O35001 5533 NEW CUT RD. LOUISVILLE KY",,-44.56
01/03/2012,"MERCHANT PAYMENT WALGREENS AT LOC 517227 5400 NEW CUT RD LOUISVILLE KY",,-30.00
01/03/2012,"DEBIT CARD RETURN AT LOWES #01518*, LOUISVILLE, KY ON 123111 TO CARD#: XXXXXXXXXXXX0000",,25.05
12/30/2011,"MERCHANT PAYMENT BIG LOTS #00346 AT LOC 346002 5518 NEW CUT RD LOUISVILLE KY",,-3.18
12/30/2011,"MERCHANT PAYMENT LOWE'S #1518 AT LOC 001 9800 PRESTON CROSSING B LOUISVILLE KY",,-39.70
12/30/2011,"MERCHANT PAYMENT LOWE'S #1518 AT LOC 001 9800 PRESTON CROSSING B LOUISVILLE KY",,-38.33
12/29/2011,"MERCHANT PAYMENT KROGER AT LOC O35004 5533 NEW CUT RD. LOUISVILLE KY",,-6.83
12/27/2011,"MERCHANT PAYMENT WALGREENS AT LOC 517227 5400 NEW CUT RD LOUISVILLE KY",,-3.71
12/27/2011,"MERCHANT PAYMENT Wal-Mart Super AT LOC 170012 5417 WAL-SAMS LOUISVILLE KY",,-13.35
12/27/2011,"MERCHANT PAYMENT KROGER AT LOC O35004 5533 NEW CUT RD. LOUISVILLE KY",,-11.37
